Bioma,Intempérie,Posição,População Quilombola,Macrorregião,SE+ECP,Código,Status,UF,Nome,Município,Município código,População Total,Latitude,Longitude,Macrorregião código,Região,Região código,SE,ECP,Agua,Estiagem,Incendio,Frio,Erosao,Outros
Amazônia,Erosão,1,5638,MACRORREGIONAL I,3,15029,Titulado,PA,"Alto Itacuruçá, Baixo Itacuruçá, Bom Remédio - PA",Abaetetuba,1500107,5718,-1.777768306,-48.90629715,1512,TOCANTINS,15011,2,1,0,0,0,0,1,2
Amazônia,Agua,1,947,MACRORREGIONAL II,1,15451,RTID (1),PA,São Miguel Arcanjo de Nova Ludiceia - PA,Irituia,1503507,1012,-1.644038125,-47.36313646,1511,METROPOLITANA III,15008,1,0,1,0,0,0,0,0
Amazônia,Agua,1,536,MACRORREGIAO NORTE,7,21463,Titulado,MA,Santana dos Pretos - MA,Pinheiro,2108603,558,-2.706902878,-45.24225502,2110,PINHEIRO,21011,2,5,2,0,0,0,0,5
Amazônia,Agua,1,494,MACRORREGIONAL III,7,15213,Portaria,PA,Saracura - PA,Santarém,1506807,674,-2.371709813,-54.60346143,1510,BAIXO AMAZONAS,15002,6,1,4,2,0,0,0,1
Caatinga,Estiagem,1,5042,CERRADOS,18,22231,RTID (1),PI,Lagoas - PI,Várzea Branca,2211357,5164,-9.359928347,-42.79556193,2210,SERRA DA CAPIVARA,22006,16,2,0,15,0,0,0,3
Caatinga,Estiagem,1,1564,OESTE (NBS - BARREIRAS),20,29102,Delimitado,BA,Rio das Rãs - BA,Bom Jesus da Lapa,2903904,1574,-13.75324585,-43.49974473,2912,SANTA MARIA DA VITORIA,29021,17,3,1,16,0,0,0,3
Caatinga,Estiagem,1,1078,MACRORREGIAO I,11,24195,Decreto,RN,Capoeiras - RN,Macaíba,2407104,1117,-5.998431971,-35.52581836,2402,7ª REGIAO DE SAUDE - METROPOLITANA,24007,7,4,1,6,0,0,0,4
Caatinga,Estiagem,1,654,MACRO UNICA,6,28166,Decreto,SE,Caraiba - SE,Canhoba,2801108,915,-10.2266436,-36.9576608,2801,PROPRIA,28007,2,4,0,2,0,0,0,4
Cerrado,Agua,1,711,MACRORREGIAO CENTRO-NORTE,8,51135,Decreto,MT,Mata Cavalo - MT,Nossa Senhora do Livramento,5106109,888,-15.91928128,-56.41369328,5105,BAIXADA CUIABANA,51002,7,1,3,1,2,0,0,2
Cerrado,Agua,1,549,MACRORREGIAO LESTE,6,21232,Decreto,MA,Matões dos Moreira - MA,Codó,2103307,564,-4.728084583,-44.19475857,2111,CODO,21007,1,5,1,0,0,0,0,5
Cerrado,Incêndio,1,277,CENTRO,1,50121,Decreto,MS,Furnas do Dionísio - MS,Jaraguari,5004908,282,-20.15942678,-54.56171241,5010,CENTRO,50011,1,0,0,0,1,0,0,0
Cerrado,Agua,1,253,RRAS8,1,35401,Portaria,SP,Jaó - SP,Itapeva,3522406,266,-23.9056396,-48.84141591,3519,ITAPEVA,35162,1,0,1,0,0,0,0,0
Mata Atlântica,Agua,1,1277,LESTE - (NRS - SALVADOR),4,29260,RTID (1),BA,"Guerém Baixão do Guaí, Quizanga, Tabatinga, Guaruçú, Giral - BA",Nazaré,2922508,1322,-12.88999918,-38.96056018,2915,SANTO ANTONIO DE JESUS,29022,1,3,1,0,0,0,0,3
Mata Atlântica,Agua,1,566,SUL,7,32148,Portaria,ES,Monte Alegre - ES,Cachoeiro de Itapemirim,3201209,597,-20.73103865,-41.27036115,3205,SUL,32004,4,3,3,1,0,0,0,3
Mata Atlântica,Agua,1,562,MACRO UNICA,5,28329,RTID (1),SE,Patioba - SE,Japaratuba,2803302,632,-10.61460832,-36.98918499,2801,NOSSA SENHORA DO SOCORRO,28006,1,4,1,0,0,0,0,4
Mata Atlântica,Agua,1,550,MACRORREGIAO I,5,33106,Titulado,RJ,Campinho da Independência - RJ,Paraty,3303807,610,-23.30065243,-44.70175482,3312,BAIA DA ILHA GRANDE,33001,1,4,2,0,0,0,0,3
Pampa,Agua/Estiagem,1,444,CENTRO-OESTE,8,43247,Decreto,RS,São Miguel - RS,Restinga Sêca,4315503,457,-29.74250279,-53.36300898,4314,REGIAO 01,43001,6,2,3,3,0,0,0,2
Pampa,Estiagem,1,239,METROPOLITANA,6,43163,Decreto,RS,Casca - RS,Mostardas,4312500,239,-30.5993013,-50.51180069,4313,REGIAO 05,43005,4,2,1,3,0,0,0,2
Pampa,Agua,1,94,VALES,19,43245,Decreto,RS,Cambará - RS,Cachoeira do Sul,4303004,147,-30.32145203,-53.22915561,4308,REGIAO 27,43027,15,4,12,3,0,0,0,4
Pampa,Agua,1,59,SUL,16,43255,Portaria,RS,Palmas - RS,Bagé,4301602,73,-30.92392992,-53.73274265,4309,REGIAO 22,43022,11,5,8,3,0,0,0,5
