Bioma,Intempérie,Posição,População Quilombola,Macrorregião,SE+ECP,Código,Status,UF,Nome,Município,Município código,População Total,Latitude,Longitude,Macrorregião código,Região,Região código,SE,ECP,Agua,Estiagem,Incendio,Frio,Erosao,Outros
Amazônia,Erosão,1,5638,MACRORREGIONAL I,3,15029,Titulado,PA,"Alto Itacuruçá, Baixo Itacuruçá, Bom Remédio - PA",Abaetetuba,1500107,5718,-1.777768306,-48.90629715,1512,TOCANTINS,15011,2,1,0,0,0,0,1,2
Amazônia,Agua/Estiagem/Incêndio,1,1700,MACRORREGIONAL I,3,15403,Titulado,PA,"Porto Grande, Mangabeira, São Benedito Viseu - PA",Cametá,1502103,1703,-2.537805403,-49.61612574,1512,TOCANTINS,15011,3,0,1,1,1,0,0,0
Amazônia,Agua,1,947,MACRORREGIONAL II,1,15451,RTID (1),PA,São Miguel Arcanjo de Nova Ludiceia - PA,Irituia,1503507,1012,-1.644038125,-47.36313646,1511,METROPOLITANA III,15008,1,0,1,0,0,0,0,0
Amazônia,Incêndio,1,786,MACRORREGIONAL I,1,15020,Titulado,PA,Centro Ouro – PA,Moju,1504703,805,-1.877498417,-48.64634388,1512,TOCANTINS,15011,1,0,0,0,1,0,0,0
Amazônia,Agua,1,536,MACRORREGIAO NORTE,7,21463,Titulado,MA,Santana dos Pretos - MA,Pinheiro,2108603,558,-2.706902878,-45.24225502,2110,PINHEIRO,21011,2,5,2,0,0,0,0,5
Amazônia,Agua,1,494,MACRORREGIONAL III,7,15213,Portaria,PA,Saracura - PA,Santarém,1506807,674,-2.371709813,-54.60346143,1510,BAIXO AMAZONAS,15002,6,1,4,2,0,0,0,1
Amazônia,Agua/Estiagem,1,450,MACRORREGIONAL II,2,15239,Titulado,PA,São Judas Tadeu - PA,Bujaru,1501907,451,-1.726539778,-48.02032758,1511,METROPOLITANA II,15007,2,0,1,1,0,0,0,0
Amazônia,Agua,1,336,MACRO UNICA - AP,15,16512,Estudo técnico,AP,Curralinho - AP,Macapá,1600303,623,0.122508597,-51.11237669,1601,AREA CENTRAL,16001,10,5,4,2,0,0,3,6
Amazônia,Agua,1,316,MACRORREGIONAL I,2,15053,Titulado,PA,Abacatal-Aurá - PA,Ananindeua,1500800,368,-1.421954052,-48.3502345,1512,METROPOLITANA I,15006,1,1,1,0,0,0,0,1
Amazônia,Estiagem,1,88,CENTRAL,5,13153,Portaria,AM,Tambor - AM,Novo Airão,1303205,88,-2.223183577,-62.43517688,1304,RIO NEGRO E SOLIMOES,13002,4,1,1,2,1,0,0,1
Amazônia,Agua,2,928,MACRORREGIONAL II,5,15039,Titulado,PA,Arquinec - PA,Concórdia do Pará,1502756,935,-1.782233431,-47.96289349,1511,METROPOLITANA II,15007,5,0,3,1,1,0,0,0
Amazônia,Agua/Estiagem/Incêndio,2,844,MACRORREGIONAL I,3,15307,Titulado,PA,"Tomazia, Tachizal, Itapocu, Mola, Bonfim, Frade - PA",Cametá,1502103,847,-2.494166458,-49.61225917,1512,TOCANTINS,15011,3,0,1,1,1,0,0,0
